Trimestre Móvil,DTI_CL_SEXO,ocupados_informales,tasa_informal_sector,tasa_informal_noagro,tasa_informal_sector_var_pct,tasa_informal_noagro_var_pct,gap_noagro_sector_pp,DTI_CL_SEXO_F,DTI_CL_SEXO_M,DTI_CL_SEXO__T
2019 ago-oct,_T,1.6988367130111068,0.12118163877354234,0.5163627244093079,-0.6160033261774269,0.40029736792915965,0.28520985293834006,0.0,0.0,1.0
2019 dic-feb,F,-0.7898536480748994,-0.8637478370164036,0.543313879095001,-0.012451341719355219,-1.177688411776155,1.079143213125069,1.0,0.0,0.0
2019 dic-feb,M,0.12679551840721326,1.5333939241618775,0.38296761761410436,0.9232608602351859,0.9474017393145274,-0.922960206050402,0.0,1.0,0.0
2019 dic-feb,_T,1.8996159488797704,0.5599321894700771,0.4520663488421976,0.6021022926144728,-0.08666300603686108,-0.10698582099033382,0.0,0.0,1.0
2019 ene-mar,F,-0.8172297654601396,-1.1973356833098652,0.43358150575232995,-0.5612357257014042,-0.13681331798424287,1.2604673835981006,1.0,0.0,0.0
2019 ene-mar,M,0.1763972970373197,1.4351822540864279,0.5141610775171411,-0.13163777790972306,0.1317240579268369,-0.7491121150207725,0.0,1.0,0.0
2019 ene-mar,_T,1.9218416101246403,0.3562747948750186,0.47901470966191834,-0.2864437979609764,0.014708725917407796,0.0729278524693097,0.0,0.0,1.0
2019 feb-abr,F,-0.8614968509525008,-0.8148483082796453,0.2503001509366556,0.6447399427219239,-0.21997215494599612,0.8248235846215355,1.0,0.0,0.0
2019 feb-abr,M,-0.06365590646247157,1.1273624167973986,-0.5060825205485309,-0.38244850232782873,-1.1473318510703865,-1.2588917221532694,0.0,1.0,0.0
2019 feb-abr,_T,1.6375213211324873,0.32046865020907467,-0.16733197668169789,-0.06493398268284133,-0.7344405926464286,-0.3751507380723228,0.0,0.0,1.0
2019 jul-sep,F,-0.793452305478923,-0.4964100459216111,0.9256184582867598,0.5002008159127214,0.7496085544714852,1.0721217347990573,1.0,0.0,0.0
2019 jul-sep,M,-0.15619404638457973,0.7710798819347185,-0.43371073668044324,-0.4561364993418541,0.07186339447957028,-0.9255594901585488,0.0,1.0,0.0
2019 jul-sep,_T,1.613027726683954,0.2498257294604958,0.17853770547837625,-0.11292499207090413,0.3898355561114312,-0.06479899375098239,0.0,0.0,1.0
2019 jun-ago,F,-0.7431228141404383,-0.42094777889163315,1.046133235391965,0.10029153123325098,0.11424373407141535,1.1016080372908865,1.0,0.0,0.0
2019 jun-ago,M,-0.11284269566642743,1.2463209995604512,-0.22374912886269704,0.5977036909917423,0.23611022092566492,-1.1443643248912798,0.0,1.0,0.0
2019 jun-ago,_T,1.7067085687405912,0.551724506357129,0.35708415292191087,0.4017592395714598,0.18806232851825194,-0.17051681425837564,0.0,0.0,1.0
2019 mar-may,F,-0.7528092168584614,-0.5145973496329102,0.8845457204283834,-0.1588714569969111,-0.18751846985908724,1.0561536773247011,1.0,0.0,0.0
2019 mar-may,M,-0.15086286702307836,0.915406105732312,-0.705534882997298,-0.4189273208324494,-0.5823474237354178,-1.2392647072304603,0.0,1.0,0.0
2019 mar-may,_T,1.6590019946659196,0.3128662437038523,0.020659127219036906,-0.3335160987464905,-0.3932153086202787,-0.23066658663576012,0.0,0.0,1.0
2019 may-jul,F,-0.7037182544430959,-0.3079496430032096,0.8236955783712995,0.3035027711596603,-0.08096600878556481,0.8489114896185826,1.0,0.0,0.0
2019 may-jul,M,-0.12166733258276557,0.9016072037981299,-0.3351023467650766,-0.03358829473092077,0.4386180457477285,-0.9554902603348052,0.0,1.0,0.0
2019 may-jul,_T,1.7372884915215956,0.3938283385228,0.1945529230460548,0.0950044468289101,0.18528449120131127,-0.16617378228568772,0.0,0.0,1.0
2019 nov-ene,F,-0.745040762684224,-1.0134322338114885,0.20454692161112603,-1.07359978418201,-0.6861964583737373,0.9471843815996792,1.0,0.0,0.0
2019 nov-ene,M,0.002362902323063186,0.759758954089854,-0.16660004512712007,-0.19627689570173074,0.18480700737143962,-0.7198586507452571,0.0,1.0,0.0
2019 nov-ene,_T,1.8199962181863052,0.024072860398401216,-0.004101556275966489,-0.5179260443355979,-0.24135319257842397,-0.021941321269031717,0.0,0.0,1.0
2019 oct-dic,F,-0.7003848080941839,-0.9519610707204553,1.233524525776899,0.0868660314411621,1.1544426116664979,1.6570095210484077,1.0,0.0,0.0
2019 oct-dic,M,0.03789157094826879,1.2840021387052079,0.12637271312453918,0.6619764579495553,0.32784848018484986,-0.9160137307324067,0.0,1.0,0.0
2019 oct-dic,_T,1.900180841401551,0.38104986826328635,0.6083832929492966,0.4938127773915509,0.6926992717840809,0.14877361486634927,0.0,0.0,1.0
2019 sep-nov,F,-0.6977126314094068,-0.5956163408164549,1.5932829162815803,0.5747014450352783,0.36273315012098145,1.6420159908207612,1.0,0.0,0.0
2019 sep-nov,M,-0.0602955853012538,0.9035439018997238,-0.282273780908349,-0.4771384417537135,-0.4828044110033105,-0.9180889884589818,0.0,1.0,0.0
2019 sep-nov,_T,1.8046658618367957,0.2947300758308763,0.54585869203679,-0.13344649672849296,-0.08420601899974624,0.17054682853674163,0.0,0.0,1.0
2020 abr-jun,F,-1.6572620340598785,-2.3149490438934928,-3.045554943917134,-2.708644462357345,-4.764754176498381,-0.42455752181579304,1.0,0.0,0.0
2020 abr-jun,M,-0.7017363943552644,-0.2581240431524246,0.0556679822259605,-1.4913700053194865,0.3843101949628659,0.24388034392608013,0.0,1.0,0.0
2020 abr-jun,_T,0.2036756501323168,-1.0765699236427553,-1.2812804142957124,-1.9024258560076182,-2.0376384053646417,-0.09793161331302704,0.0,0.0,1.0
2020 ago-oct,F,-1.2615827273161189,-1.3583746964121044,-0.1569109075399685,2.0286772999414517,4.412188344267564,0.951964514834215,1.0,0.0,0.0
2020 ago-oct,M,-0.47442588107576067,1.4596834678414987,-0.17382378374903015,2.539924042114516,-0.27935444357653005,-1.2752659217170594,0.0,1.0,0.0
2020 ago-oct,_T,0.826665470155586,0.33443391651814763,-0.16645734922475003,2.372241122068012,1.421728056207858,-0.38548191156386497,0.0,0.0,1.0
2020 dic-feb,F,-0.7169384810070889,-1.462460267311218,0.4516941586358143,-0.20103055840532325,0.6970109985358132,1.4821793437781332,1.0,0.0,0.0
2020 dic-feb,M,-0.08798488990831818,0.5195346078017822,-0.026358545907795985,-1.1317972333475266,0.15750504381524463,-0.42773343618939413,0.0,1.0,0.0
2020 dic-feb,_T,1.7577507076320467,-0.3163208213200179,0.18585855994624342,-0.9064280244437677,0.39735747827778845,0.38554100723486756,0.0,0.0,1.0
2020 ene-mar,F,-0.8473355974169061,-1.3061727474278777,0.3354794568963323,0.2667981187456723,-0.14490817837885892,1.2737244039385063,1.0,0.0,0.0
2020 ene-mar,M,-0.2011856180331423,0.52532716400848,-0.4251982028605489,-0.008359585612789901,-0.4772274453109801,-0.7261455097412408,0.0,1.0,0.0
2020 ene-mar,_T,1.5141528630974173,-0.2398613956536447,-0.08883601668844902,0.09866437965877187,-0.3280832929920164,0.12305879430284392,0.0,0.0,1.0
2020 feb-abr,F,-1.1757159646114457,-2.2050630274870073,-0.7988339859233977,-1.598670534698183,-1.291584284415431,1.1444339904566943,1.0,0.0,0.0
2020 feb-abr,M,-0.38476094167889535,0.013309230390174648,-0.09277334863583664,-0.6989046592329599,0.38248654503021196,-0.0788141251139642,0.0,1.0,0.0
2020 feb-abr,_T,1.0021971722571186,-0.8990239457047854,-0.40462269675087825,-0.9942527393744058,-0.3829040038908467,0.40844076482200525,0.0,0.0,1.0
2020 jul-sep,F,-1.342207097380825,-0.30993329315456125,-0.1444940648059677,3.9425895671249855,0.7929991047350767,0.1371216385522115,1.0,0.0,0.0
2020 jul-sep,M,-0.6073308772112482,1.5787748747225774,0.5520175893443182,2.223427469665803,0.7354251014855145,-0.8340723194375042,0.0,1.0,0.0
2020 jul-sep,_T,0.6131361039553862,0.8093029908225197,0.2433076042245086,2.791711371755184,0.7587288219170036,-0.45678198682974347,0.0,0.0,1.0
2020 jun-ago,F,-1.3330788165351706,-0.5990450494349918,-0.10373432663322477,-0.44959318408476295,0.03232304735556765,0.3943716672308764,1.0,0.0,0.0
2020 jun-ago,M,-0.8127708306804367,0.4537618311443463,-0.11782085059021757,-1.3327038884027183,-0.756369238687835,-0.4434294433774856,0.0,1.0,0.0
2020 jun-ago,_T,0.41682443133185265,0.013117657677946587,-0.1114524742439074,-1.0393809235702502,-0.417401600355418,-0.09242608762476105,0.0,0.0,1.0
2020 mar-may,F,-1.6063997814739441,-2.131843734095926,-3.018538757655572,-2.4178042225313705,-3.412214313455721,-0.5485585558744338,1.0,0.0,0.0
2020 mar-may,M,-0.6094333511822132,-0.10877475867474366,0.06238066031521885,-0.7734528059638234,0.19490984184121252,0.1314495109486822,0.0,1.0,0.0
2020 mar-may,_T,0.34684094589129605,-0.9210921521490328,-1.270369350441473,-1.3525849576206421,-1.3667737481474755,-0.21208563594204158,0.0,0.0,1.0
